EmployeeCode,LogDateTime,LogDate,LogTime,Direction
1002,2021-03-26 09:21:22,2021-03-26,09:21:22.0000000,out
1290,2021-03-26 09:21:23,2021-03-26,09:21:23.0000000,in
1002,2021-03-26 09:21:27,2021-03-26,09:21:27.0000000,in
3333,2021-03-26 09:22:40,2021-03-26,09:22:40.0000000,in
1123,2021-03-26 09:25:00,2021-03-26,09:25:00.0000000,in
1271,2021-03-26 09:45:08,2021-03-26,09:45:08.0000000,in
00017,2021-03-26 09:45:49,2021-03-26,09:45:49.0000000,out
00017,2021-03-26 09:45:53,2021-03-26,09:45:53.0000000,in
0888,2021-03-26 09:51:14,2021-03-26,09:51:14.0000000,in
0847,2021-03-26 11:15:05,2021-03-26,11:15:05.0000000,in
0847,2021-03-26 13:06:47,2021-03-26,13:06:47.0000000,out
1272,2021-03-26 15:08:56,2021-03-26,15:08:56.0000000,out
0888,2021-03-26 15:30:04,2021-03-26,15:30:04.0000000,out
1271,2021-03-26 16:11:18,2021-03-26,16:11:18.0000000,out
0847,2021-03-26 17:22:24,2021-03-26,17:22:24.0000000,in
00021,2021-03-26 17:32:28,2021-03-26,17:32:28.0000000,out
1285,2021-03-26 17:55:46,2021-03-26,17:55:46.0000000,out
00015,2021-03-26 17:59:23,2021-03-26,17:59:23.0000000,out
00023,2021-03-26 17:59:26,2021-03-26,17:59:26.0000000,out
00026,2021-03-26 18:00:18,2021-03-26,18:00:18.0000000,out
00025,2021-03-26 18:00:23,2021-03-26,18:00:23.0000000,out
00019,2021-03-26 18:00:25,2021-03-26,18:00:25.0000000,out
052,2021-03-26 18:00:28,2021-03-26,18:00:28.0000000,out
00020,2021-03-26 18:01:35,2021-03-26,18:01:35.0000000,out
1141,2021-03-26 18:02:22,2021-03-26,18:02:22.0000000,out
00022,2021-03-26 18:03:20,2021-03-26,18:03:20.0000000,out
00024,2021-03-26 18:03:22,2021-03-26,18:03:22.0000000,out
1290,2021-03-26 18:07:35,2021-03-26,18:07:35.0000000,out
1002,2021-03-26 18:24:45,2021-03-26,18:24:45.0000000,out
0847,2021-03-26 18:25:09,2021-03-26,18:25:09.0000000,out
1123,2021-03-26 18:39:18,2021-03-26,18:39:18.0000000,out
3333,2021-03-26 18:49:38,2021-03-26,18:49:38.0000000,out
70000,2021-03-26 19:02:39,2021-03-26,19:02:39.0000000,in
70000,2021-03-26 19:02:48,2021-03-26,19:02:48.0000000,out
